"","Or4","Or88","Or54","Or55","Or27","Or26","Or50","Or30","Or25","Or58","Ir40a","Ir87a1","Ir87a2","Ir7j","Ir100a","Or11","Or41","Or79","Or78","Or76","Or36","Or91","Or93","Or47","Or99","Or77","Or32","Or73","Or131","Or51","Or57","Or92","Ir136","Ir137","Ir102","Ir103","Gr1","Gr11","Gr15","Gr19c","Gr19a","Gr30","Gr33a","Gr39h","Gr64","Gr66","Gr67a","Gr74a","Ir21a","Ir64a","Ir75c","Or45","Or9","Or2","Or10","Ir75e","Ir75g","Ir75h","Ir75f","Or69","Or15","Or14","Ir75b","Ir75a","Or31","Or122","Or125","Or6","Or33","Or103","Or95","Or104","Or121","Or105","Or107","Or29","Or71","Or42","Or48","Or130","Or106","Or132","Or63","Or133","Or116","Or64","Ir75i","Or117","Or128","Gr63","Or82","Ir31a1","Or3","Ir108","Ir107","Ir161","Ir31a2","Gr7","Gr10","Gr14","Gr22","Gr23","Gr26","Gr31","Gr32","Gr34","Gr46","Gr62","Gr73","Gr76","Gr77","Ir41n","Or85","Ir41j","Ir93a","Ir41l","Ir41o","Ir41c","Ir41g","Ir41f","Or40","Ir41k","Ir41e","Ir7n","Or16","Or59","Ir75k","Or13","Or44","Ir75d","Or23","Ir41p","Or28","Or100","Or37","Or52","Or80","Or81","Or87","Or20","Or115","Or113","Or24","Or94","Or119","Or43","Or123","Or101","Or97","Or72","Or86","Or110","Or38","Or67","Or102","Or34","Or22","Or112","Gr8","Or118","Or114","Or62","Ir138","Ir141","Or84","Gr80","Gr45","Ir41b","Ir41a","Ir41m","Ir7e","Gr25","Or90","Or111","Ir111","Ir114","Ir117","Ir164","Ir163","Ir162","Ir75l","Ir41d","Gr39g"
"Or33",0,7,1,0,0,0,1,0,0,0,0,0,2,11,0,1,0,2,0,0,6,3,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,0,1,1,1,0,3,0,1,0,1,1,1,0,2,0,0,0,6,2,4,0,2,0,0,1,0,1,0,0,6,3,0,0,2,3,0,0,1,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,1,0,1,0,8,3,0,1,0,3,0,3,3,1,0,0,4,0,0,0,0,2,0,0,0,4,5,0,1,3,0,4,1,0,1,0,2,2,1,0,0,0,0,0,0,4,0,0,0,1,0,0,8,0,0,1,4,0,0,1,0,5,0,0,0,0,0,0,1,0,0
"Or103",23,20,4,1,9,5,5,2,4,3,0,11,5,2,0,21,7,14,6,0,31,5,6,42,13,2,5,0,1,1,3,11,5,1,0,3,1,1,2,0,0,6,0,0,2,0,2,1,2,35,7,4,0,10,5,11,16,8,6,17,4,6,5,7,3,8,33,10,6,0,6,24,10,4,8,5,16,3,9,3,2,17,16,3,5,9,7,4,1,1,16,10,1,2,0,1,4,1,0,1,0,2,2,1,2,5,1,2,8,2,12,1,15,4,6,20,20,26,2,12,1,23,3,1,29,14,4,1,9,4,17,20,3,15,0,12,1,19,33,1,53,32,1,18,2,2,37,0,25,40,5,4,14,3,20,0,2,25,3,0,39,3,1,0,55,0,0,8,43,1,0,2,0,15,0,0,6,0,1,2,1,1,0
"Or95",5,6,1,1,2,2,1,0,2,0,0,0,0,1,0,4,1,1,1,1,3,30,0,8,0,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,1,1,5,4,0,2,0,1,1,2,3,0,4,4,1,2,6,0,3,2,2,1,2,0,1,1,0,0,2,5,0,0,3,4,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,3,1,0,4,2,6,0,3,0,2,1,2,4,3,0,0,2,0,4,0,0,2,0,0,1,1,7,0,2,6,0,5,2,0,1,1,5,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,7,1,0,0,9,1,0,1,0,6,0,0,0,0,0,0,0,1,0
"Or104",21,33,6,4,7,8,6,2,3,2,0,1,4,2,1,11,5,12,2,1,22,2,2,37,1,3,6,0,0,2,1,0,2,0,1,2,1,0,1,0,1,9,0,0,10,2,2,1,1,21,11,4,1,4,8,10,14,12,3,18,1,4,11,9,4,6,6,11,4,24,3,0,11,114,1,13,12,0,6,2,0,24,12,1,3,13,9,3,1,3,31,9,4,2,2,1,3,8,0,0,1,1,2,1,0,2,0,0,8,1,10,1,12,6,15,18,27,19,1,15,1,20,0,0,19,9,2,1,15,1,11,15,6,5,0,13,6,31,47,0,5,260,0,16,3,1,3,5,16,7,20,1,13,1,2,4,3,223,1,2,2,4,0,1,54,1,0,11,54,3,0,1,1,197,1,0,4,0,2,2,0,2,0
"Or121",13,11,6,0,6,3,6,3,1,0,0,2,2,0,0,7,4,9,5,0,24,2,0,10,0,1,3,0,2,1,1,0,1,0,0,0,2,0,1,0,0,1,0,0,2,0,0,1,0,14,2,2,0,7,5,8,8,4,7,9,1,1,4,3,0,50,3,5,0,10,2,11,0,3,1,2,4,1,1,3,1,1,7,3,3,5,4,0,2,0,7,1,3,3,0,2,1,2,0,1,0,0,1,1,0,0,0,0,3,3,10,0,2,1,1,3,11,7,1,5,1,12,0,0,10,6,5,4,2,1,7,7,0,8,0,10,4,4,26,0,3,17,0,14,3,1,1,3,7,4,2,1,4,1,0,1,3,13,1,2,3,2,0,0,23,0,0,1,18,0,0,1,0,10,0,0,0,0,0,0,2,1,0
"Or105",14,16,5,2,6,4,1,1,2,1,0,1,1,0,0,4,3,7,3,1,10,1,1,17,0,1,6,0,1,2,0,0,1,0,0,1,1,1,0,0,1,5,0,0,4,0,2,0,1,9,5,1,0,3,7,5,10,3,1,11,1,1,4,7,1,4,1,6,2,4,2,114,3,0,2,3,3,1,1,1,1,11,2,3,1,2,1,2,0,1,9,4,0,1,0,0,6,5,0,0,2,1,1,3,1,0,1,0,6,2,6,0,4,1,10,5,14,9,1,6,1,16,0,0,12,3,1,1,12,1,4,10,2,2,0,3,3,10,25,0,2,147,0,5,0,1,1,6,6,5,13,0,7,3,0,5,1,122,1,1,2,3,2,0,26,0,0,5,34,1,1,1,0,117,1,0,2,0,1,0,0,1,0
"Or107",2,1,1,0,1,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,2,0,0,0,1,9,0,0,0,1,0,1,0,2,0,8,1,1,1,2,0,1,1,1,1,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,2,2,3,0,0,0,3,0,1,4,1,0,0,0,1,6,4,0,0,1,0,0,2,1,0,6,2,0,0,0,0,4,0,0,6,1,0,1,0,0,0,0,1,0,0,4,1,2,0,3,0,0,0,4,1,1,0,0,2,0,0,1,0,0,0,0,0,0
"Or29",0,5,0,0,4,2,0,1,2,1,0,1,1,1,0,4,1,8,2,1,6,3,1,5,1,1,1,0,0,0,0,0,2,0,0,0,2,0,1,0,0,2,0,0,1,1,0,1,0,6,1,0,0,2,3,4,9,2,3,6,1,1,1,2,0,5,0,5,0,5,2,13,2,3,1,0,4,0,1,1,0,1,6,1,1,4,2,0,1,0,4,3,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,2,3,0,0,0,2,2,1,0,4,6,0,3,0,6,0,0,7,1,2,1,5,0,3,3,0,2,0,5,0,4,8,0,4,12,0,4,0,1,1,2,4,3,0,0,3,2,0,1,0,12,0,0,2,0,0,0,13,0,0,2,15,0,0,0,0,7,0,0,2,0,0,0,0,1,0
"Or71",90,11,5,2,5,4,2,2,1,1,0,2,5,1,0,12,3,7,3,1,26,3,1,92,0,2,2,0,3,1,0,1,2,0,0,1,1,0,4,0,0,2,0,0,2,1,1,1,0,11,3,0,1,4,1,5,4,6,1,5,4,6,4,3,3,3,3,46,1,16,0,12,4,3,1,4,0,4,1,1,1,17,8,1,1,5,5,1,2,0,71,5,3,0,0,1,2,2,0,0,0,0,1,0,1,5,0,1,4,1,12,2,4,0,1,7,5,6,2,8,2,11,0,1,11,7,2,0,6,0,7,9,1,7,0,16,1,11,18,0,2,19,0,10,0,1,2,1,6,6,2,2,8,1,2,2,1,12,2,0,3,1,0,1,26,0,0,3,24,0,1,1,0,10,0,0,4,0,1,2,2,0,0
"Or42",7,3,1,1,3,2,0,0,2,0,0,0,3,0,0,5,33,1,1,0,3,1,0,5,0,1,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,2,1,0,0,2,0,1,1,1,2,2,0,0,1,3,0,3,1,0,1,1,1,0,4,0,1,1,1,2,5,1,1,2,1,0,0,0,4,5,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,3,0,2,0,0,2,4,4,1,0,0,2,0,1,2,3,0,0,1,0,1,3,0,2,0,1,0,1,5,0,1,3,0,3,0,0,1,0,0,4,1,2,0,0,0,0,0,3,0,0,0,0,0,0,9,0,0,0,6,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"Or48",7,5,0,0,3,1,2,0,1,3,0,0,0,1,0,5,0,3,3,0,9,2,2,7,1,1,2,0,1,0,0,2,1,1,0,1,1,0,0,0,0,1,0,0,2,0,0,0,1,5,3,3,1,1,1,4,4,3,1,2,0,0,3,3,0,4,3,3,1,9,1,6,1,1,1,1,1,1,0,0,2,5,5,0,0,6,1,0,0,0,5,7,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,2,0,6,0,2,4,7,5,1,2,0,6,0,0,3,2,1,0,2,2,3,5,0,2,0,6,0,1,11,0,4,9,0,6,1,1,1,1,4,3,1,0,1,0,0,1,0,9,0,0,1,1,1,0,13,0,0,1,6,0,0,1,0,7,0,0,0,0,0,0,0,0,0
"Or130",2,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,3,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,3,2,2,3,0,2,0,2,1,2,0,3,0,0,0,3,0,2,3,1,0,1,1,1,0,0,0,0,1,0,26,0,0,7,0,0,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,1,0,1,0,2,0,0,1,0,2,0,0,0,1,0,0,1,0,2,2,1,0,0,0,0,7,3,0,0,4,0,5,0,0,1,0,3,0,0,1,0,0,1,0,2,1,0,0,1,0,0,0,7,0,0,1,5,0,0,0,0,2,0,0,0,0,0,0,0,0,0
"Or106",2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,2,2,0,0,0,0,0,0,1,0,1,1,1,1,1,0,2,2,1,0,2,0,0,1,1,4,0,1,1,2,0,0,3,1,0,0,1,0,0,0,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,2,3,0,0,1,2,0,0,3,1,0,0,0,1,4,1,0,2,0,0,0,2,3,0,2,1,0,3,1,1,2,1,2,0,0,0,1,0,2,1,0,2,0,1,0,0,3,0,7,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Or132",36,22,3,1,13,6,2,2,3,5,1,4,7,1,0,16,1,14,4,1,28,5,2,32,0,3,5,0,1,1,1,1,1,0,0,1,1,0,2,0,0,6,0,0,6,1,4,0,0,19,9,6,2,11,10,8,9,9,1,15,3,1,12,10,1,3,8,10,6,17,2,24,1,11,2,1,17,2,5,0,3,0,14,1,3,12,2,1,0,1,29,7,3,1,0,3,4,3,1,0,0,3,2,0,1,3,0,2,3,0,10,0,12,2,3,17,15,16,1,13,0,13,1,1,12,11,6,1,6,1,8,11,7,11,0,13,7,21,36,0,4,26,3,20,2,0,2,4,15,11,1,3,10,1,3,3,1,22,0,1,4,6,2,1,57,1,0,9,32,5,0,1,1,22,2,0,4,0,1,1,3,3,0
"Or63",22,16,4,2,1,3,3,0,1,1,0,4,4,0,0,11,5,8,3,0,6,4,1,22,0,3,2,0,0,1,0,1,3,0,0,0,2,0,1,0,0,1,0,1,2,0,0,0,0,17,5,52,0,2,2,11,10,5,4,8,1,2,3,6,3,6,6,4,3,16,5,12,7,2,0,6,8,5,5,1,1,14,0,0,4,131,5,0,0,0,11,9,1,1,2,0,2,1,0,1,0,1,0,0,0,1,2,2,8,1,5,1,10,4,5,5,11,16,0,12,0,14,0,0,13,4,5,1,1,0,11,7,1,10,0,2,6,17,23,1,7,17,0,14,0,0,1,1,4,9,4,3,8,2,1,3,2,16,1,0,2,0,1,0,40,1,0,2,17,2,0,0,1,10,2,0,2,0,0,2,3,0,0
"Or133",3,1,1,0,0,0,0,0,0,0,0,1,2,0,0,4,1,3,1,0,2,0,0,7,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,3,2,1,2,0,1,0,0,1,1,0,1,0,3,0,3,0,1,3,3,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,3,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,2,4,0,0,2,2,0,0,2,1,1,1,26,0,2,4,0,0,0,3,1,2,2,1,0,1,0,0,0,6,0,0,0,0,0,0,0,13,0,1,0,1,0,0,0,0,0,0,7,0,0,2,3,0,0,0,0,2,0,0,0,1,0,0,0,0,0
"Or116",5,4,0,0,2,1,1,0,0,1,0,0,1,0,0,1,1,3,2,0,1,0,0,3,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,3,1,0,0,0,2,6,4,3,2,2,0,3,1,5,0,5,1,2,0,5,0,3,3,1,0,1,1,1,0,26,0,3,4,0,0,3,1,9,0,0,0,4,0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,2,0,2,0,2,0,2,0,4,4,0,2,0,2,0,0,2,1,0,0,2,1,3,3,2,2,0,1,0,5,8,0,0,6,0,4,1,0,1,0,3,1,0,1,2,0,1,0,0,2,0,1,0,0,0,0,11,0,1,3,8,0,0,0,0,3,0,0,2,0,0,1,0,0,0
"Or64",15,14,3,2,1,5,3,0,0,0,0,2,3,1,0,9,3,6,3,0,11,3,0,16,0,2,3,0,0,1,0,2,3,1,0,0,2,0,3,0,1,2,0,1,1,1,0,1,0,17,3,45,0,2,3,7,9,9,3,9,1,2,1,5,2,6,5,7,2,9,3,13,5,2,0,4,5,2,6,0,1,12,131,0,3,0,4,0,0,1,13,11,3,1,1,1,4,2,0,0,0,0,0,0,1,2,2,0,9,1,4,1,11,2,2,3,10,10,1,13,0,13,1,1,13,4,4,1,5,1,11,7,2,7,1,3,7,7,18,0,5,14,0,9,0,0,2,0,3,7,2,2,3,1,1,2,3,12,1,0,2,0,2,0,34,1,0,1,19,3,0,1,0,12,1,0,1,0,0,1,3,0,0
"Ir75i",8,5,1,1,3,1,3,1,1,0,1,1,2,1,1,4,0,3,1,1,7,3,0,11,0,0,0,1,0,0,1,0,0,1,0,1,2,0,1,0,0,5,0,0,1,0,1,0,0,12,3,1,0,3,5,33,32,3,39,3,1,1,2,2,1,5,5,3,3,7,4,9,4,1,0,2,5,1,1,0,0,2,5,1,1,4,0,0,0,1,12,3,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,5,1,2,0,5,1,1,4,3,4,0,1,0,10,1,0,10,1,1,2,5,0,7,2,0,4,0,3,2,5,11,1,2,12,5,5,0,0,1,1,2,2,1,2,8,2,0,1,1,9,1,0,0,2,1,0,15,0,0,2,10,3,0,0,0,9,1,0,1,0,0,2,0,0,0
"Or117",2,4,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,2,1,1,0,2,0,0,1,3,0,0,1,0,0,4,0,3,0,2,0,0,1,0,0,7,0,1,0,0,9,0,0,0,0,0,3,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,2,0,1,0,0,3,0,0,0,2,1,3,3,0,0,0,1,0,4,3,0,0,2,0,2,0,0,1,0,2,0,0,0,2,0,1,0,1,1,1,0,0,0,0,0,3,0,0,0,4,0,0,0,0,1,0,0,1,0,0,1,0,0,0
"Or128",3,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,2,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,1,0,1,1,1,0,1,1,1,0,0,0,2,1,0,0,1,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,4,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0
"Gr63",0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,1,0,1,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,2,0,1,0,0,1,0,1,5,0,3,0,0,0,0,2,0,1,0,0,0,0,1,0,3,0,0,1,0,0,0,2,0,0,0,2,1,0,0,0,4,0,0,0,0,0,0,0,0,0
"Or82",50,20,13,5,12,8,36,5,2,3,0,3,8,0,4,19,7,14,3,1,24,5,2,124,1,0,8,0,1,8,2,2,2,1,0,1,4,0,18,0,1,3,0,0,8,9,3,3,1,8,10,2,2,5,6,10,13,12,5,13,1,2,12,8,1,8,5,61,1,16,3,31,7,9,2,4,71,4,5,2,3,29,11,3,0,13,12,3,1,1,0,12,56,1,0,4,5,2,0,1,1,0,2,0,4,6,1,2,7,1,14,3,11,4,5,47,25,37,0,16,1,26,0,0,19,9,3,2,13,0,18,13,13,12,0,11,39,54,33,0,4,36,2,17,1,1,6,3,13,8,2,2,15,4,6,1,3,30,1,1,4,2,0,1,54,0,0,6,44,21,0,0,0,21,0,0,2,0,1,1,3,0,0
"Ir31a1",15,11,2,1,2,0,1,2,1,6,5,2,4,2,1,13,4,3,2,1,19,2,1,15,0,0,3,0,3,1,0,0,2,0,0,1,2,1,0,0,0,4,0,0,2,1,1,1,0,11,4,3,0,2,2,6,4,9,2,10,1,1,5,4,1,1,2,4,3,10,0,9,1,4,0,3,5,5,7,0,2,7,9,0,4,11,3,1,0,1,12,0,1,1,1,2,42,1,1,1,1,0,2,2,0,1,0,2,1,1,9,0,11,2,0,4,12,9,0,6,0,14,1,0,12,8,3,0,0,2,8,8,2,5,1,10,2,2,23,1,4,17,1,7,0,0,3,2,11,5,0,1,6,2,2,0,0,11,0,1,1,1,0,0,33,1,0,2,19,0,0,2,0,7,0,0,0,0,0,0,2,0,0
"Or3",2,3,2,0,2,2,28,0,0,1,0,1,1,0,1,2,2,4,2,0,4,0,0,56,0,0,4,0,0,3,1,0,0,1,0,0,0,0,14,0,1,1,0,0,1,6,0,1,0,1,2,1,0,1,3,1,1,2,1,1,1,1,1,0,1,3,0,3,0,1,0,4,3,0,0,0,3,1,1,2,1,3,1,1,0,3,0,0,0,0,56,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,2,0,3,0,1,2,4,3,4,5,0,2,0,3,0,0,2,2,0,2,2,0,2,5,2,1,0,3,5,6,9,0,1,3,0,0,0,0,2,0,1,1,1,1,2,2,0,0,0,2,0,0,0,1,0,0,11,0,0,0,11,0,0,0,0,2,0,0,0,0,0,0,1,0,0
"Ir108",1,5,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,11,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,1,2,1,0,0,0,0,0,0,0,1,1,2,0,0,2,0,2,3,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,1,0,2,2,0,0,0,3,0,0,3,0,0,1,1,0,2,1,0,1,0,5,0,2,9,0,0,1,0,1,0,0,1,0,3,2,0,0,3,0,0,0,0,1,0,0,0,0,0,0,7,0,0,1,3,0,0,0,0,2,0,0,1,0,0,0,0,0,0
"Ir107",0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0,0,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ir161",2,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,10,0,1,5,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,7,1,0,1,0,2,0,0,1,0,1,3,1,3,1,1,0,1,2,0,2,1,1,0,0,0,0,3,0,1,1,1,0,0,0,1,4,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,1,1,4,1,0,1,0,3,0,0,6,4,0,0,2,0,4,3,1,2,0,8,1,3,6,1,1,2,1,2,0,0,0,0,1,4,0,1,4,1,1,0,0,2,0,0,1,1,0,0,6,1,0,1,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0
"Ir31a2",9,5,1,1,3,1,1,2,0,1,4,0,3,1,0,5,1,2,3,1,8,0,1,8,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,6,2,0,0,1,2,1,3,3,2,2,1,0,4,3,1,0,2,2,0,4,0,3,1,6,0,1,2,1,0,0,0,4,2,0,1,4,1,1,0,1,5,42,0,0,0,1,0,1,0,1,1,0,1,0,0,0,0,2,0,0,3,0,1,0,2,1,6,2,0,2,0,9,1,0,7,4,1,1,2,0,2,4,1,1,0,5,1,3,10,0,3,8,4,0,0,1,0,1,2,6,0,2,4,1,0,0,0,7,1,0,0,0,0,0,14,0,0,2,7,0,0,2,0,7,0,0,0,0,1,0,1,0,0
"Gr7",1,2,0,2,0,0,1,0,1,2,0,0,1,0,1,2,0,0,0,0,3,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,1,1,0,4,3,0,3,2,0,0,1,0,1,2,2,0,1,1,8,2,5,0,0,2,0,1,0,0,3,1,0,1,2,1,1,0,1,2,1,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,1,0,2,1,4,0,2,2,0,0,0,1,1,2,0,2,1,2,4,0,2,0,1,0,0,6,0,0,10,0,0,1,0,0,2,1,0,1,1,4,0,1,1,0,9,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,10,0,0,1,0,0,0,1,0,0
"Gr10",0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr14",1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,2,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gr22",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,2,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0
"Gr23",0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,2,1,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,1,0,2,1,0,1,0,0,0,0,0,1,2,0,1,0,0,0,1,3,0,0,2,0,2,0,1,0,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,5,0,0,1,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0
"Gr26",1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,2,0,2,0,0,3,0,0,5,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,2,1,0,2,0,2,1,0,0,0,0,0,0,1,0,2,0,2,1,1,0,1,1,0,1,0,0,2,0,1,0,0,0,0,0,0,2,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2,0,1,0,1,0,0,1,2,0,1,2,1,1,0,0,2,0,1,1,1,6,0,2,3,0,3,0,0,0,0,2,2,1,2,1,1,0,0,1,4,0,0,1,0,0,0,1,0,0,0,2,0,0,1,0,1,0,0,1,0,0,0,1,0,0
